ก	๒๕๔๒	พยัญชนะตัวต้น เป็นพวกอักษรกลาง ใช้เป็นตัวสะกดในแม่กก.
ก	๒๕๕๔	พยัญชนะตัวที่ ๑ เรียกว่า กอ ไก่ เป็นอักษรกลาง ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากกหรือแม่กก เช่น กก ปาก สัก.
ก	๒๕๖๙	พยัญชนะตัวที่ ๑ เรียกว่า กอ หรือ กอ ไก่ เป็นอักษรกลาง ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากกหรือแม่กก เช่น กก ปาก สัก.
ก กา	๒๕๔๒	น. เรียกแม่บทแจกลูกพยัญชนะต้นกับสระโดยไม่มีตัวสะกดว่า แม่ ก กา หรือ มาตรา ก กา.
ก กา	๒๕๕๔	เรียกแม่บทแจกลูกพยัญชนะต้นกับสระโดยไม่มีตัวสะกด ว่า มาตรา ก กา หรือแม่ ก กา.
ก กา	๒๕๖๙	ดู มาตรา ก กา หรือ แม่ ก กา.
ก ข	๒๕๔๒	[โบ อ่านว่า กอข้อ] น. พยัญชนะแต่ ก ถึง ฮ.
ก ข	๒๕๕๔	พยัญชนะแต่ ก ถึง ฮ.
ก ข	๒๕๖๙	พยัญชนะแต่ ก ถึง ฮ.
ก ข ไม่กระดิกหู	๒๕๔๒	[โบ อ่านว่า กอข้อ-] (สํา) น. ผู้ที่เรียนหนังสือแล้วไม่รู้ อ่านไม่ออกเขียนไม่ได้.
ก ข ไม่กระดิกหู	๒๕๕๔	ผู้ที่เรียนหนังสือแล้วไม่รู้ อ่านไม่ออกเขียนไม่ได้.
ก ข ไม่กระดิกหู	๒๕๖๙	(สํา) เรียนหนังสือแล้วไม่รู้, อ่านไม่ออก เขียนไม่ได้.
ก หัน	๒๕๔๒	น. อักษร ก คู่ ในหนังสือโบราณใช้แทนไม้หันอากาศตัวหนึ่ง เป็นตัวสะกดตัวหนึ่ง เช่น จกก = จัก หลกก = หลัก.
ก หัน	๒๕๕๔	อักษร ก คู่ ในหนังสือโบราณใช้แทนไม้หันอากาศตัวหนึ่ง เป็นตัวสะกดตัวหนึ่ง เช่น จกก = จัก หลกก = หลัก.
กก	๒๕๔๒	น. เรียกคำหรือพยางค์ที่มีตัว ก ข ค ฆ สะกดว่า แม่กก หรือ มาตรากก.
กก	๒๕๕๔	เรียกคำหรือพยางค์ที่มีตัว ก ข ค ฆ สะกด ว่า มาตรากกหรือแม่กก.
กก	๒๕๖๙	ดู มาตรากก หรือ แม่กก.
กกขนาก	๒๕๔๒	ดู กก ๓.
กกช้าง	๒๕๔๒	น. ชื่อไม้ล้มลุกชนิด Typha angustifolia L. ในวงศ์ Typhaceae ขึ้นในนํ้า ช่อดอกคล้ายธูปขนาดใหญ่, กกธูป ธูปฤๅษี ปรือ หรือ เฟื้อ ก็เรียก.
กกช้าง	๒๕๕๔	ชื่อไม้ล้มลุกชนิด Typha angustifolia L. ในวงศ์ Typhaceae ขึ้นในนํ้า ช่อดอกคล้ายธูปขนาดใหญ่, กกธูป ธูปฤๅษี ปรือ หรือ เฟื้อ ก็เรียก.
กกช้าง	๒๕๖๙	ไม้ล้มลุกชนิด Typha angustifolia L. ในวงศ์ Typhaceae ขึ้นในนํ้า ช่อดอกคล้ายธูปขนาดใหญ่, กกธูป ธูปฤๅษี ปรือ หรือ เฟื้อ ก็ว่า.
กกธูป	๒๕๔๒	ดู กกช้าง.
กกธูป	๒๕๕๔	ดู กกช้าง.
กกธูป	๒๕๖๙	ดู กกช้าง.
กกหู	๒๕๔๒	น. บริเวณหลังใบหู.
กกหู	๒๕๕๔	บริเวณโคนหูส่วนหลังที่ติดกับศีรษะ.
กกหู	๒๕๖๙	บริเวณโคนหูส่วนหลังที่ติดกับศีรษะ.
กกุธภัณฑ์	๒๕๔๒	[กะกุดทะ-] น. เครื่องหมายความเป็นพระราชาธิบดีตามที่แสดงไว้ในบรมราชาภิเษก ร. ๗ คือ ๑. พระมหาพิชัยมงกุฎ ๒. พระแสงขรรค์ชัยศรี ๓. ธารพระกร ๔. วาลวีชนี (พัดกับแส้จามรี) ๕. ฉลองพระบาท รวมเรียกว่า เบญจราชกกุธภัณฑ์. (ป. กกุธ ว่า เครื่องหมายความเป็นพระราชา + ภณฺฑ ว่า ของใช้; ระบุไว้ในอภิธานัปปทีปิกา คาถาที่ ๓๕๘ ว่า พระขรรค์ ฉัตร อุณหิส ฉลองพระบาท วาลวีชนี คือ มีฉัตรแทนธารพระกร; ในจดหมายเหตุบรมราชาภิเษก รัชกาลที่ ๒ มีทั้งฉัตรและธารพระกร พระแสงขรรค์ พระแสงดาบ วาลวีชนี พระมหาพิชัยมงกุฎ และฉลองพระบาท รวมเป็น ๗ สิ่ง. วาลวีชนี ที่ปรากฏวัตถุเป็นพัดกับแส้จามรีนั้น แต่ก่อนเป็นพัดใบตาลอย่างที่เรียกว่า พัชนีฝักมะขาม ต่อมาท่านเห็นควรเป็นแส้จามรีจะถูกกว่า เพราะศัพท์ว่าวาลวีชนี หมายความเป็นแส้ขนโคชนิดหนึ่ง จึงสร้างแส้จามรีขึ้น แต่ก็ไม่อาจเลิกพัดใบตาลของเก่า เป็นอันรวมไว้ทั้ง ๒ อย่างในเครื่องที่เรียกว่า วาลวีชนี).
